song_id,segment_id,transformation,comparison_type,simple_average,weighted_average,weights_used,score_global_final
007,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
007,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
026,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
026,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
028,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
028,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
031,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
031,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
033,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
033,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
045,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
045,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
047,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
047,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
072,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
072,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
074,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
074,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
081,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
081,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
082,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
082,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
090,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
090,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
095,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
095,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
096,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
096,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
100,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
100,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
104,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
104,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
105,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
105,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
115,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
115,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
128,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
128,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
143,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
143,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
160,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
160,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
164,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
164,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
167,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
167,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
176,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
176,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
197,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
197,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
204,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
204,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
215,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
215,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
221,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
221,02,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
224,01,original_copy,baseline_original,1.000000,1.000000,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}",1.000000
