transformation,component_transformed,score_melody,score_harmony,score_rhythm,score_global,observations
melody_harmony_rhythm,Combinações,1.000000,0.632710,0.333333,0.704782,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.632710,1.000000,0.871448,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.632710,0.333333,0.704782,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.632710,0.000000,0.221448,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.064160,0.016040,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.624183,0.000000,0.000000,0.249673,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.591588,0.000000,0.000000,0.236635,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.061770,0.015443,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.694712,0.000000,0.243149,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.951399,0.000000,0.332990,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.488325,0.000000,0.000000,0.195330,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.661319,0.333333,0.714795,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.661319,1.000000,0.881462,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.661319,0.333333,0.714795,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.661319,0.000000,0.231462,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.161776,0.040444,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.642857,0.000000,0.000000,0.257143,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.601068,0.000000,0.000000,0.240427,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.155338,0.038835,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
reharmonization,Harmonia,0.000000,0.684407,0.000000,0.239542,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.931372,0.000000,0.325980,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.475000,0.000000,0.000000,0.190000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.671776,0.333333,0.718455,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_harmony,Combinações,1.000000,0.671776,1.000000,0.885122,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.671776,0.333333,0.718455,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.671776,0.000000,0.235122,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.064763,0.016191,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.687500,0.000000,0.000000,0.275000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.657895,0.000000,0.000000,0.263158,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.064332,0.016083,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.684407,0.000000,0.239542,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.775163,0.000000,0.271307,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.475000,0.000000,0.000000,0.190000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.620652,0.333333,0.700562,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.620652,1.000000,0.867228,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.620652,0.333333,0.700562,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.620652,0.000000,0.217228,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.059096,0.014774,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.603128,0.000000,0.000000,0.241251,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.648470,0.000000,0.000000,0.259388,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.056007,0.014002,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.670964,0.000000,0.234838,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.874106,0.000000,0.305937,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.458875,0.000000,0.000000,0.183550,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.674811,0.333333,0.719517,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_harmony,Combinações,1.000000,0.674811,1.000000,0.886184,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.674811,0.333333,0.719517,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.674811,0.000000,0.236184,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.059734,0.014933,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.658182,0.000000,0.000000,0.263273,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.646296,0.000000,0.000000,0.258519,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.056028,0.014007,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.717122,0.000000,0.250993,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.833333,0.000000,0.291667,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.602759,0.000000,0.000000,0.241103,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.608521,0.333333,0.696316,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.608521,1.000000,0.862982,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.608521,0.333333,0.696316,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.608521,0.000000,0.212982,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.049494,0.012373,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.679487,0.000000,0.000000,0.271795,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.557018,0.000000,0.000000,0.222807,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.047325,0.011831,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.657423,0.000000,0.230098,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.662490,0.000000,0.231871,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.416667,0.000000,0.000000,0.166667,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.654402,0.341270,0.714358,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.654402,1.000000,0.879041,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.654402,0.341270,0.714358,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.341270,0.835317,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.654402,0.000000,0.229041,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.053486,0.013372,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.598998,0.000000,0.000000,0.239599,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.646027,0.000000,0.000000,0.258411,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.051734,0.012933,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.658635,0.000000,0.230522,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.681969,0.000000,0.238689,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.631746,0.000000,0.000000,0.252698,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.341270,0.085317,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
