song_id,segment_id,transformation,parameters,source_file,generated_file
007,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",007_segment_01.json,007_segment_01.json
007,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",007_segment_02.json,007_segment_02.json
026,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",026_segment_01.json,026_segment_01.json
026,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",026_segment_02.json,026_segment_02.json
028,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",028_segment_01.json,028_segment_01.json
028,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",028_segment_02.json,028_segment_02.json
031,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",031_segment_01.json,031_segment_01.json
031,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",031_segment_02.json,031_segment_02.json
033,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",033_segment_01.json,033_segment_01.json
033,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",033_segment_02.json,033_segment_02.json
045,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",045_segment_01.json,045_segment_01.json
045,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",045_segment_02.json,045_segment_02.json
047,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",047_segment_01.json,047_segment_01.json
047,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",047_segment_02.json,047_segment_02.json
072,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",072_segment_01.json,072_segment_01.json
072,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",072_segment_02.json,072_segment_02.json
074,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",074_segment_01.json,074_segment_01.json
074,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",074_segment_02.json,074_segment_02.json
081,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",081_segment_01.json,081_segment_01.json
081,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",081_segment_02.json,081_segment_02.json
082,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",082_segment_01.json,082_segment_01.json
082,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",082_segment_02.json,082_segment_02.json
090,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",090_segment_01.json,090_segment_01.json
090,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",090_segment_02.json,090_segment_02.json
095,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",095_segment_01.json,095_segment_01.json
095,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",095_segment_02.json,095_segment_02.json
096,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",096_segment_01.json,096_segment_01.json
096,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",096_segment_02.json,096_segment_02.json
100,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",100_segment_01.json,100_segment_01.json
100,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",100_segment_02.json,100_segment_02.json
104,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",104_segment_01.json,104_segment_01.json
104,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",104_segment_02.json,104_segment_02.json
105,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",105_segment_01.json,105_segment_01.json
105,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",105_segment_02.json,105_segment_02.json
115,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",115_segment_01.json,115_segment_01.json
115,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",115_segment_02.json,115_segment_02.json
128,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",128_segment_01.json,128_segment_01.json
128,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",128_segment_02.json,128_segment_02.json
143,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",143_segment_01.json,143_segment_01.json
143,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",143_segment_02.json,143_segment_02.json
160,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",160_segment_01.json,160_segment_01.json
160,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",160_segment_02.json,160_segment_02.json
164,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",164_segment_01.json,164_segment_01.json
164,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",164_segment_02.json,164_segment_02.json
167,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",167_segment_01.json,167_segment_01.json
167,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",167_segment_02.json,167_segment_02.json
176,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",176_segment_01.json,176_segment_01.json
176,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",176_segment_02.json,176_segment_02.json
197,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",197_segment_01.json,197_segment_01.json
197,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",197_segment_02.json,197_segment_02.json
204,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",204_segment_01.json,204_segment_01.json
204,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",204_segment_02.json,204_segment_02.json
215,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",215_segment_01.json,215_segment_01.json
215,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",215_segment_02.json,215_segment_02.json
221,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",221_segment_01.json,221_segment_01.json
221,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",221_segment_02.json,221_segment_02.json
224,01,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",224_segment_01.json,224_segment_01.json
224,02,interval_modification,"{""random_seed"": 42, ""strength"": 0.25}",224_segment_02.json,224_segment_02.json
